Código executado via script automatizador de testes.
17:50:28, 24/07/17, Monday
params: -E 3600 -A 1024 -p 1 -n 10 -a 2 -b 8 -r 0.9 -t 100000 -g 10 -m 25 -M -d 0.9 -N 100 -v -k 15 -k 15

-------------------------------------------------
COLORANT
-------------------------------------------------
Parameters:
  Alpha..................................: 2.00
  Beta...................................: 8.00
  Rho....................................: 0.90
  Ants...................................: 1024
  Pheromone scheme.......................: All ants + Best ant + Best colony
  Change pheromone scheme after 10 iterations.
  Memory Usage:
	Memory size......................: 256 (25 of 1024 - ants)
	Delta............................: 0.90
-------------------------------------------------
TABUCOL
-------------------------------------------------
Parameters:
  Iterations.............................: 100000
  Change tabucol scheme after 100 cycles.
	Initial scheme: Dynamic
  Apply tabu search only on the best ant.
-------------------------------------------------
GENERAL Options
-------------------------------------------------
  CPU threads............................: 12
  K......................................: 15
  Time...................................: 3600.00
  Seed...................................: 60834170646268 (nrand)
  Running on verbose mode.
-------------------------------------------------
Cycle 1 - Conflicts found: 12 (edges), 24 (vertices)
Cycle 2 - Conflicts found: 13 (edges), 23 (vertices)
Cycle 3 - Conflicts found: 10 (edges), 20 (vertices)
Cycle 4 - Conflicts found: 10 (edges), 20 (vertices)
Cycle 5 - Conflicts found: 10 (edges), 20 (vertices)
Cycle 6 - Conflicts found: 9 (edges), 17 (vertices)
Cycle 7 - Conflicts found: 9 (edges), 17 (vertices)
Cycle 8 - Conflicts found: 7 (edges), 13 (vertices)
Cycle 9 - Conflicts found: 7 (edges), 13 (vertices)
Cycle 10 - Conflicts found: 7 (edges), 13 (vertices)
Cycle 11 - Conflicts found: 7 (edges), 13 (vertices)
Cycle 12 - Conflicts found: 7 (edges), 13 (vertices)
Cycle 13 - Conflicts found: 7 (edges), 13 (vertices)
Cycle 14 - Conflicts found: 7 (edges), 13 (vertices)
Cycle 15 - Conflicts found: 7 (edges), 13 (vertices)
Cycle 16 - Conflicts found: 7 (edges), 13 (vertices)
Cycle 17 - Conflicts found: 7 (edges), 13 (vertices)
Cycle 18 - Conflicts found: 6 (edges), 12 (vertices)
Cycle 19 - Conflicts found: 6 (edges), 12 (vertices)
Cycle 20 - Conflicts found: 6 (edges), 12 (vertices)
Cycle 21 - Conflicts found: 6 (edges), 12 (vertices)
Cycle 22 - Conflicts found: 6 (edges), 12 (vertices)
Cycle 23 - Conflicts found: 6 (edges), 12 (vertices)
Cycle 24 - Conflicts found: 6 (edges), 12 (vertices)
Cycle 25 - Conflicts found: 6 (edges), 12 (vertices)
Cycle 26 - Conflicts found: 6 (edges), 12 (vertices)
Cycle 27 - Conflicts found: 6 (edges), 12 (vertices)
Cycle 28 - Conflicts found: 6 (edges), 12 (vertices)
